node,nom,tipus,x,y
0.0,colector,ramificació,0.226,0.055124
1.0,1,ramificació,0.221,0.143463
2.0,2,ramificació,0.258,0.149823
3.0,3,ramificació,0.285,0.153357
4.0,4,ramificació,0.337,0.161837
5.0,5,ramificació,0.424,0.176678
6.0,6,ramificació,0.445,0.375972
7.0,7,ramificació,0.446,0.395053
8.0,8,ramificació,0.4435,0.419788
9.0,9,ramificació,0.442,0.44523
10.0,10,ramificació,0.4395,0.479152
11.0,11,ramificació,0.439,0.498233
12.0,12,ramificació,0.4235,0.497527
13.0,13,ramificació,0.397,0.496113
14.0,14,ramificació,0.3765,0.567491
15.0,15,ramificació,0.378,0.596466
16.0,16,ramificació,0.376,0.711661
17.0,17,ramificació,0.4565,0.746996
18.0,18,ramificació,0.5125,0.74841
19.0,19,ramificació,0.58,0.491873
20.0,20,ramificació,0.6695,0.491873
21.0,21,ramificació,0.7265,0.491166
22.0,22,ramificació,0.3275,0.358304
23.0,23,ramificació,0.1895,0.396466
24.0,24,ramificació,0.172,0.686219
1120.0,Y-120,chiller,0.411,0.417668
1160.0,Y-160,chiller,0.4375,0.879859
1160.01,1160.01,ramificació,0.3995,0.881272
1170.0,Y-170,chiller,0.439,0.951237
1180.01,1180.01,ramificació,0.0895,0.168198
1180.02,1180.02,ramificació,0.0905,0.187279
1180.03,1180.03,ramificació,0.089,0.208481
1181.0,Y-180 (a),chiller,0.122,0.168198
1182.0,Y-180 (b),chiller,0.122,0.189399
1191.0,Y-190 (a),chiller,0.1225,0.209187
1192.0,Y-190 (b),chiller,0.124,0.230389
3100.01,3100.01,ramificació,0.597,0.183746
3100.02,3100.02,ramificació,0.6145,0.255124
3100.03,3100.03,ramificació,0.5955,0.236749
3101.0,EI-101,intercambiador,0.5755,0.236042
3102.0,EI-102,intercambiador,0.574,0.309541
3150.0,EI-150,intercambiador,0.6475,0.269965
3700.01,3700.01,ramificació,0.411,0.395
3800.01,3800.01,ramificació,0.5805,0.549117
3801.0,EI-801,intercambiador,0.5475,0.561131
3806.0,EI-806,intercambiador,0.6125,0.54629
3900.01,3900.01,ramificació,0.505,0.536396
3900.02,3900.02,ramificació,0.506,0.583746
3900.03,3900.03,ramificació,0.5095,0.671378
3901.0,EI-901,intercambiador,0.5215,0.583746
3906.0,EI-906,intercambiador,0.4915,0.700353
4200.01,4200.01,ramificació,0.67,0.535689
4201.0,PK-201,intercambiador,0.669,0.579505
4202.0,PK-202A,intercambiador,0.6645,0.55477
4300.01,4300.01,ramificació,0.7275,0.529329
4303.0,PI-303,intercambiador,0.717,0.565371
4304.0,PI-304,intercambiador,0.716,0.530035
4501.0,PI-601,intercambiador,0.4365,0.662191
4600.02,4600.02,ramificació,,
4651.0,LI-651,intercambiador,0.352,0.751237
4600.01,4600.01,ramificació,,
4671.0,LI-671,intercambiador,0.3495,0.687633
4700.01,4700.01,ramificació,0.4145,0.569611
4700.02,4700.02,ramificació,0.4285,0.573145
4710.0,VI-710,intercambiador,0.4475,0.575265
4740.0,VI-740,intercambiador,0.4515,0.613428
4810.0,VI-810,intercambiador,0.4435,0.542049
5600.0,SS-600,intercambiador,0.154,0.392933
5700.01,5700.01,ramificació,0.513,0.403534
5701.0,EI-701,intercambiador,0.47,0.416254
5800.01,5800.01,ramificació,0.396,0.480565
5801.0,SS-801,intercambiador,0.37,0.482686
5802.0,SS-802,intercambiador,0.37,0.462191
8104.0,BV-104,bomba,0.3095,0.024735
8105.0,BV-105,bomba,0.1645,0.021201
8106.0,BV-106,bomba,0.3105,0.074205
8107.0,BV-107,bomba,0.1635,0.069965
8108.0,BV-108,bomba,0.3095,0.043816
8109.0,BV-109,bomba,0.3995,0.79788
31001.0,EI-1001,intercambiador,0.5215,0.536396
31006.0,EI-1006,intercambiador,0.4875,0.673498
51000.0,SS-1000,intercambiador,0.284,0.187279
52100.01,52100.01,ramificació,0.1415,0.674912
52100.02,52100.02,ramificació,0.1195,0.671378
52107.0,SI-2107,intercambiador,0.104,0.628975
52207.0,SI-2207,intercambiador,0.1195,0.632509
53000.0,SS-3000,intercambiador,0.256,0.178799
56000.0,SI-6002,intercambiador,0.118,0.767491
